year,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31
2017,29,29,28,27,27,26,26,26,26,27,29,29,28,28,29,31,32,33,34,35,35,35,36,37,37,35,35,34,34,33,31
2016,28,28,27,26,26,25,25,25,25,26,27,27,28,28,29,30,31,32,33,34,34,35,36,37,36,34,34,33,33,32,31
2015,27,27,27,26,25,25,25,25,25,25,27,27,27,27,28,29,30,31,32,33,33,34,35,36,35,34,33,32,32,31,30
2014,27,27,27,26,25,25,25,25,25,25,26,26,27,26,27,28,29,30,31,32,32,33,35,35,34,33,32,31,31,30,29
2013,27,27,27,26,25,25,25,25,26,25,27,27,27,27,28,29,30,31,32,33,33,34,35,36,35,34,33,32,32,31,30
2012,28,28,27,26,26,25,25,25,25,26,27,27,28,28,29,30,31,32,33,34,34,35,36,37,36,34,34,33,33,32,31
2011,29,29,28,27,27,26,26,26,26,27,29,29,28,28,29,31,32,33,34,35,35,35,36,37,37,35,35,34,34,33,31
2010,30,30,29,28,28,27,27,27,27,28,30,30,29,29,30,31,32,34,35,36,36,36,37,36,36,35,36,34,33,32,30
2009,31,31,30,29,29,28,28,28,28,29,31,31,30,30,31,32,33,34,35,36,37,37,37,36,35,35,34,33,32,31,29
2008,32,32,31,30,30,29,29,29,29,30,32,32,31,31,32,33,34,35,36,37,37,37,37,37,35,35,34,32,31,30,29
2007,32,32,31,30,30,29,29,29,29,30,32,32,31,31,32,33,34,35,36,37,37,37,37,37,35,35,34,32,31,30,29
2006,30,30,29,28,28,27,27,27,27,28,30,30,29,29,30,31,32,34,35,36,36,36,37,36,36,35,36,34,33,32,30
